SUB_ID	LAST_NAME	FIRST_NAME	GENDER	BIRTH_DT	SUBGRP_ID	GRP_ID	EFF_DT	TERM_DT	ELIG_IND
201000001	SMITH	aaliyah	f	01-01-1957	1	12345	01-01-2014	12/31/2014	Y
201000002	JOHNSON	aapeli	m	01-02-1957	2	12345	01-01-2014	12/31/2014	Y
201000003	WILLIAMS	aapo	m	01-03-1957	3	12345	01-01-2014	12/31/2014	Y
201000004	JONES	aaren	m	01-04-1957	4	12345	01-01-2014	12/31/2014	Y
201000005	BROWN	aarne	m	01-05-1957	5	12345	01-01-2014	12/31/2014	Y
201000006	DAVIS	aar¢n	m	01-06-1957	6	12345	01-01-2014	12/31/2014	Y
201000007	MILLER	aaron	m	01-07-1957	7	12345	01-01-2014	12/31/2014	Y
201000008	WILSON	aatami	m	01-08-1957	1	12346	09-01-2013	12/31/2015	Y
201000009	MOORE	aatto	m	01-09-1957	2	12346	09-01-2013	12/31/2015	Y
201000010	TAYLOR	aatu	m	01-10-1957	3	12346	09-01-2013	12/31/2015	Y
201000011	ANDERSON	abaddon	m	01-11-1957	4	12346	09-01-2013	12/31/2015	Y
201000012	THOMAS	abb n	m	01-12-1957	5	12345	09-01-2013	12/31/2013	Y
201000013	JACKSON	'abbas	m	1/13/1957	6	12345	09-01-2013	12/31/2013	Y
201000014	WHITE	abbey	f	1/14/1957	7	12346	09-01-2013	12/31/2015	Y
201000015	HARRIS	abbie	f	1/15/1957	1	12345	06-01-2013	12/31/2013	Y
201000016	MARTIN	abby	f	1/16/1957	2	12347	06-01-2013	12/31/2016	Y
201000017	THOMPSON	abd-al-aziz	m	1/17/1957	3	12347	06-01-2013	12/31/2016	Y
201000018	GARCIA	abd-allah	m	1/18/1957	4	12347	06-01-2013	12/31/2016	Y
201000019	MARTINEZ	abd-al-malik	m	1/19/1957	5	12347	06-01-2013	12/31/2016	Y
201000020	ROBINSON	abd-al-qadir	m	1/20/1957	6	12347	06-01-2013	12/31/2016	Y
201000021	CLARK	abd-al-rahman	m	1/21/1957	7	12345	06-01-2013	12/31/2013	Y
201000022	RODRIGUEZ	abdul	m	1/22/1957	1	12348	03-01-2013	12/31/2017	Y
201000023	LEWIS	abdul-aziz	m	1/23/1957	2	12348	03-01-2013	12/31/2017	Y
201000024	LEE	abdullah	m	1/24/1957	3	12348	03-01-2013	12/31/2017	Y
201000025	WALKER	abdul-rahman	m	1/25/1957	4	12348	03-01-2013	12/31/2017	Y
201000026	HALL	abe	m	1/26/1957	5	12348	03-01-2013	12/31/2017	Y
201000027	ALLEN	abednego	m	1/27/1957	6	12348	03-01-2013	12/31/2013	Y
201000028	YOUNG	abegail	f	1/28/1957	7	12348	03-01-2013	12/31/2017	Y
201000029	HERNANDEZ	 bel	m	1/29/1957	1	12349	12-01-2012	12/31/2014	Y
201000030	KING	abel	m	1/30/1957	2	12349	12-01-2012	12/31/2014	Y
201000031	WRIGHT	abelone	f	1/31/1957	3	12349	12-01-2012	12/31/2014	Y
201000032	LOPEZ	abena	f	02-01-1957	4	12349	12-01-2012	12/31/2014	Y
201000033	HILL	abeni	f	02-02-1957	5	12349	12-01-2012	12/31/2012	Y
201000034	SCOTT	abhay	m	02-03-1957	6	12349	12-01-2012	12/31/2014	Y
201000035	GREEN	abiah	m	02-04-1957	7	12349	12-01-2012	12/31/2014	Y
201000036	ADAMS	abidan	m	02-05-1957	1	12350	09-01-2012	12/31/2015	Y
201000037	BAKER	abidemi	m	02-06-1957	2	12350	09-01-2012	12/31/2015	Y
201000038	GONZALEZ	abiel	m	02-07-1957	3	12350	09-01-2012	12/31/2015	Y
201000039	NELSON	abigail	f	02-08-1957	4	12349	09-01-2012	12/31/2012	Y
201000040	CARTER	abigayle	f	02-09-1957	5	12350	09-01-2012	12/31/2015	Y
201000041	MITCHELL	abihu	m	02-10-1957	6	12350	09-01-2012	12/31/2015	Y
201000042	PEREZ	abijah	m	02-11-1957	7	12350	09-01-2012	12/31/2015	Y
201000043	ROBERTS	abilene	f	02-12-1957	1	12351	06-01-2012	12/31/2016	Y
201000044	TURNER	abimael	m	2/13/1957	2	12351	06-01-2012	12/31/2016	Y
201000045	PHILLIPS	abiram	m	2/14/1957	3	12351	06-01-2012	12/31/2016	Y
201000046	CAMPBELL	abisai	m	2/15/1957	4	12351	06-01-2012	12/31/2016	Y
201000047	PARKER	abishag	f	2/16/1957	5	12351	06-01-2012	12/31/2016	Y
